epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2090.36,2.11231,3.3849,2.49047,0.62571,0.069,0.09057,0.02543,2.29272,3.40685,2.88779,0.000960682,0.000960682,0.000960682
43,2140.13,2.12217,3.40248,2.50359,0.57335,0.18944,0.13619,0.03342,2.25297,3.35449,2.80251,0.000957015,0.000957015,0.000957015
44,2189.87,2.13203,3.35235,2.50186,0.45152,0.08933,0.05129,0.01301,2.27272,3.40447,2.86085,0.000953349,0.000953349,0.000953349
45,2239.5,2.10879,3.34571,2.49004,0.46204,0.16267,0.06645,0.01616,2.24847,3.37431,2.85108,0.000949683,0.000949683,0.000949683
46,2289.17,2.09464,3.3281,2.49422,0.65454,0.17867,0.08446,0.02085,2.32368,3.35246,2.93946,0.000946016,0.000946016,0.000946016
47,2338.74,2.11551,3.3532,2.50528,0.29175,0.1648,0.08495,0.02471,2.29402,3.29991,2.86438,0.00094235,0.00094235,0.00094235
48,2388.26,2.09729,3.34354,2.46779,0.51313,0.09795,0.06576,0.01896,2.28358,3.35416,2.85113,0.000938684,0.000938684,0.000938684
49,2437.86,2.07629,3.29834,2.45873,0.49121,0.14511,0.05597,0.01715,2.29901,3.53013,2.90394,0.000935018,0.000935018,0.000935018
50,2487.47,2.10487,3.28868,2.46279,0.38615,0.15144,0.08218,0.02287,2.29679,3.29394,2.8597,0.000931351,0.000931351,0.000931351
51,2537.16,2.09825,3.27244,2.47429,0.64055,0.08808,0.07746,0.02251,2.3298,3.23089,2.8997,0.000927685,0.000927685,0.000927685
52,2586.74,2.09848,3.2796,2.46491,0.53004,0.14407,0.11974,0.03909,2.23128,3.28114,2.86791,0.000924019,0.000924019,0.000924019
53,2636.66,2.10001,3.27272,2.48073,0.44656,0.13933,0.08293,0.02411,2.38115,3.40228,2.90403,0.000920352,0.000920352,0.000920352
54,2686.26,2.0931,3.2588,2.48366,0.23218,0.12392,0.09264,0.02593,2.21818,3.35699,2.81507,0.000916686,0.000916686,0.000916686
55,2736.05,2.11041,3.2795,2.46934,0.47515,0.151,0.08692,0.02296,2.25778,3.34186,2.84315,0.00091302,0.00091302,0.00091302
56,2785.64,2.11145,3.27263,2.46645,0.34088,0.18978,0.11063,0.03237,2.23652,3.24963,2.81736,0.000909353,0.000909353,0.000909353
57,2835.3,2.0802,3.23281,2.46635,0.49966,0.1384,0.09725,0.02654,2.34207,3.15835,2.85821,0.000905687,0.000905687,0.000905687
58,2884.9,2.07532,3.24625,2.44043,0.49686,0.16109,0.11136,0.0338,2.2487,3.24376,2.89502,0.000902021,0.000902021,0.000902021
59,2934.36,2.07987,3.24513,2.44345,0.66818,0.13833,0.11638,0.03697,2.2783,3.32029,2.83666,0.000898355,0.000898355,0.000898355
60,2983.87,2.06399,3.21013,2.44025,0.5306,0.11554,0.1512,0.04086,2.27126,3.27036,2.8361,0.000894688,0.000894688,0.000894688
61,3033.38,2.06299,3.19919,2.4167,0.37706,0.21447,0.10057,0.03274,2.22638,3.28744,2.80824,0.000891022,0.000891022,0.000891022
62,3083.04,2.04088,3.19908,2.46794,0.08027,0.14578,0.09716,0.02784,2.29221,3.1779,2.86011,0.000887356,0.000887356,0.000887356
63,3132.58,2.06247,3.22007,2.45524,0.18865,0.1803,0.14673,0.04052,2.2751,3.326,2.85589,0.000883689,0.000883689,0.000883689
64,3182.25,2.05525,3.20539,2.43917,0.27599,0.18826,0.12697,0.03368,2.28095,3.17623,2.85556,0.000880023,0.000880023,0.000880023
65,3232.16,2.03749,3.18161,2.42418,0.34467,0.16717,0.14688,0.03719,2.22143,3.15744,2.80722,0.000876357,0.000876357,0.000876357
66,3281.78,2.02442,3.16299,2.39871,0.17701,0.1719,0.10182,0.03362,2.26423,3.20765,2.83696,0.000872691,0.000872691,0.000872691
67,3331.44,2.0537,3.12059,2.40455,0.22969,0.22775,0.13506,0.04707,2.25028,3.27631,2.81831,0.000869024,0.000869024,0.000869024
68,3381.18,2.06448,3.14751,2.41728,0.22863,0.20106,0.13519,0.04091,2.23817,3.21036,2.8329,0.000865358,0.000865358,0.000865358
69,3430.88,2.02973,3.15589,2.40652,0.17181,0.23633,0.10467,0.03778,2.30627,3.16745,2.93397,0.000861692,0.000861692,0.000861692
70,3480.58,2.04957,3.14333,2.43171,0.25021,0.16084,0.11265,0.03595,2.27913,3.35271,2.87291,0.000858025,0.000858025,0.000858025
71,3530.24,2.05539,3.16452,2.40248,0.28036,0.16146,0.13359,0.03964,2.31019,3.25816,2.88156,0.000854359,0.000854359,0.000854359
72,3579.91,2.04196,3.14541,2.41477,0.45403,0.17776,0.12534,0.0432,2.23059,3.13946,2.85703,0.000850693,0.000850693,0.000850693
73,3629.66,2.04374,3.13836,2.39558,0.45653,0.18354,0.1299,0.04083,2.26661,3.25347,2.88532,0.000847026,0.000847026,0.000847026
74,3679.39,2.03836,3.13308,2.41226,0.33831,0.17121,0.14525,0.04626,2.22185,3.15063,2.84628,0.00084336,0.00084336,0.00084336
75,3728.93,2.0265,3.0821,2.39062,0.25828,0.24537,0.15023,0.05029,2.24868,3.11993,2.84057,0.000839694,0.000839694,0.000839694
76,3778.68,2.05388,3.08918,2.41154,0.16274,0.20566,0.11762,0.03942,2.25153,3.17954,2.8209,0.000836027,0.000836027,0.000836027
77,3828.55,2.01886,3.04603,2.37671,0.20235,0.2549,0.1522,0.05068,2.22459,3.06785,2.79976,0.000832361,0.000832361,0.000832361
78,3878.27,2.02758,3.1623,2.41168,0.24151,0.22387,0.14535,0.04322,2.27807,3.11875,2.88732,0.000828695,0.000828695,0.000828695
79,3928.05,2.01937,3.10435,2.38242,0.23372,0.20708,0.15625,0.05495,2.27496,3.0428,2.87001,0.000825029,0.000825029,0.000825029
80,3977.85,2.00507,3.06925,2.40101,0.29484,0.23079,0.21257,0.07197,2.26779,3.15833,2.91564,0.000821362,0.000821362,0.000821362
81,4027.77,2.00899,3.05232,2.38851,0.3585,0.28148,0.17921,0.06304,2.24112,3.00753,2.8148,0.000817696,0.000817696,0.000817696
82,4077.54,2.02506,3.04764,2.38539,0.20823,0.18037,0.18238,0.06551,2.24687,3.02795,2.81278,0.00081403,0.00081403,0.00081403
83,4127.31,2.03154,3.03711,2.39287,0.22857,0.25315,0.16909,0.05432,2.23357,3.07491,2.8336,0.000810363,0.000810363,0.000810363
84,4177.03,2.02374,3.02656,2.37105,0.24761,0.24544,0.16974,0.05427,2.1823,3.1052,2.77836,0.000806697,0.000806697,0.000806697
85,4226.74,2.01192,3.03292,2.39637,0.14066,0.25824,0.13392,0.03817,2.36087,3.2099,3.01061,0.000803031,0.000803031,0.000803031
86,4276.5,2.00695,3.03535,2.39125,0.42044,0.22358,0.21726,0.07068,2.26588,3.00672,2.8159,0.000799365,0.000799365,0.000799365
87,4326.03,2.02955,3.04624,2.38998,0.27369,0.23537,0.1864,0.06923,2.2561,3.01664,2.84836,0.000795698,0.000795698,0.000795698
88,4375.73,2.0049,3.01062,2.3619,0.20209,0.23008,0.16207,0.06048,2.23849,3.02233,2.8493,0.000792032,0.000792032,0.000792032
89,4425.54,2.01463,3.00586,2.37322,0.3037,0.21429,0.18208,0.06552,2.29896,3.14161,2.91732,0.000788366,0.000788366,0.000788366
90,4475.16,2.01478,2.98225,2.368,0.37688,0.18423,0.1907,0.06525,2.2569,3.10253,2.85031,0.000784699,0.000784699,0.000784699
91,4524.83,2.03115,2.99891,2.37868,0.22975,0.3218,0.1966,0.0676,2.23582,3.0921,2.8077,0.000781033,0.000781033,0.000781033
92,4574.81,2.02513,2.95966,2.35884,0.33689,0.29621,0.22273,0.07982,2.22764,3.0446,2.74523,0.000777367,0.000777367,0.000777367
93,4624.71,2.02774,2.99393,2.38134,0.27052,0.33113,0.23239,0.07203,2.21206,3.01512,2.78412,0.0007737,0.0007737,0.0007737
